id;type;source;label;remarks;geom;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude
749;Foreign country;Hanna;USA;estimate according to googlemaps;0101000020E6100000277EEAEE77FC56C09FDF984028294140;0;7;2015-08-04 18:53:42.870351+02;;;0;0;0;34.3215409037068;-91.944820145604
750;Agricultural site;Hanna;Tanghin barrage (Ouagadougou);estimate according to googlemaps;0101000020E6100000A53EFDE2F99CF8BF1BA1DC6B2EC92840;0;7;2015-08-04 18:59:49.477188+02;;;0;0;0;12.3929322916816;-1.53832424800559
751;Place in Ouagagadougou;Hanna;Bvld Charles de Gaulle;estimate according to googlemaps;0101000020E61000000E40FD6249B0F7BF3955089B4EC02840;0;7;2015-08-05 10:08:18.488447+02;;;0;0;0;12.3755997131035;-1.48053873698882
752;Foreign country;Hanna;Germany;;0101000020E61000000E57A073CB502440B7F97F0B31FB4840;0;7;2015-08-05 10:19:52.526451+02;;;0;0;0;49.9624342322235;10.157802213023
753;Place in Ouagagadougou;Hanna;Ghana station (Ouagadougou);location unknown;0101000020E6100000CC3DFD02FE5AF8BF18F9BFD8FBA82840;0;7;2015-08-05 10:26:26.078694+02;;;0;0;0;12.3300464376776;-1.5222149006621
754;Place in Ouagagadougou;Hanna;Ecobam;location unknown;0101000020E61000000C42FDE2694BF8BFB6C054D983B32840;0;7;2015-08-05 10:42:23.087098+02;;;0;0;0;12.3506153026541;-1.51841152827922
755;Place in Ouagagadougou;Hanna;Koudougou station (Ouagadougou);location unknown (close to Marché central);0101000020E61000005E40FDA2B45EF8BF51D80B7A0CBB2840;0;7;2015-08-05 13:36:00.831545+02;;;0;0;0;12.3653295649966;-1.52312148730927
756;cities and towns outside Greater Ouagadougou;WASCAL;Tabou;;0101000020E6100000ADA07E31224601C0E0EFC644BFB52640;0;7;2015-08-05 14:24:11.168982+02;;;0;0;0;11.3549748890727;-2.15924490611731
757;Place in Ouagagadougou;Hanna;SONABHY (Ouagadougou);estimate according to googlemaps;0101000020E61000004F41FDE27610F9BF8083056F11B12840;0;7;2015-08-05 15:50:58.304461+02;;;0;0;0;12.3458361334067;-1.56651962917029
758;Place in Ouagagadougou;Hanna;Sofitex (Ouagadougou);estimate according to googlemaps;0101000020E61000002644FDE2AA46F8BF5BEBC1A0B8B62840;0;7;2015-08-05 16:01:59.089514+02;;;0;0;0;12.3568773495405;-1.5172528139849
759;City abroad;Hanna;Parakou (Benin);Estimation according to google search;0101000020E6100000F26181CE6D030540D60067D64AB02240;0;7;2015-08-05 16:47:33.514303+02;;;0;0;0;9.34432096488346;2.62667428333611
732;cities and towns outside Greater Ouagadougou;WASCAL;Poédogo (Pabré);;0101000020E61000005FB91065DE89F8BF979046A5A93C2940;0;7;2015-08-04 13:51:28.493065+02;7;2015-08-05 17:34:58.684914+02;0;0;0;12.6184817932738;-1.53365935782093
760;cities and towns outside Greater Ouagadougou;Hanna;Alga;OSM;0101000020E6100000C642FD6264D0F8BF3523C17A60362B40;0;7;2015-08-05 17:44:04.888503+02;;;0;0;0;13.6062048302425;-1.55087698619552
761;Quartier of Ouagadougou;Hanna;Cité An 3;estimate according to googlemaps;0101000020E6100000E43DFD626E8AF8BFD4F95CD27DBF2840;0;7;2015-08-05 17:46:48.48658+02;;;0;0;0;12.3740068186279;-1.53379667918841
762;Quartier of Ouagadougou;Hanna;Zone du Bois (Ouagadougou);estimate according to googlemaps;0101000020E61000001544FD6244D3F7BF62EEB368D9C42840;0;7;2015-08-05 17:53:03.558504+02;;;0;0;0;12.3844711990016;-1.48907889049247
783;Road market;Market checklist;Nioko 2 road market;estimated location by using market GPS shpfile;0101000020E610000084396B3C5A62F7BF73736464E2DA2840;0;56;2015-09-16 15:01:27.237173+02;;;0;0;0;12.4275084850903;-1.46151183701622
569;Road market;Market checklist;Wayalghin road market;location estimated by using Marche_ouagadougou Shpfile;0101000020E61000007F5805E3B772F7BF2D771C4514CC2840;;;2014-05-21 13:49:47.74048+02;56;2015-10-26 10:50:04.902526+01;0;0;0;12.3985921475647;-1.46550739936859
805;Road market;Market checklist;Kossodo road market;exact location unknown;0101000020E61000005C4BFDA22693F7BF9EC39BD8BAD52840;0;7;2015-09-25 10:30:08.841703+02;;;0;0;0;12.4174411478178;-1.47342551868197
806;Road market;Market checklist;Zone 1 road market;exact location unknown;0101000020E61000003D3FFDE221B2F7BF6C14A6275DB92840;0;7;2015-09-25 10:35:54.15517+02;;;0;0;0;12.3620388403162;-1.48098934810328
807;Road market;Market checklist;Katre yaar road market;exact location unknown;0101000020E61000005B43FD225AB2F7BFED61610FADB32840;0;7;2015-09-25 10:41:11.080795+02;;;0;0;0;12.3509297186256;-1.48104299228381
809;Road market;Market checklist;Boulmiougou road market;exact location unknown;0101000020E6100000D43CFDE2825EF9BF8FD4C2D7FAAD2840;0;7;2015-09-25 10:53:20.468711+02;;;0;0;0;12.3398044038134;-1.58557404201183
810;Road market;Market checklist;Cissin road market;exact location unknown;0101000020E6100000843EFDE2F375F8BF2C10F4C346A32840;0;7;2015-09-25 11:04:45.657809+02;;;0;0;0;12.3188992724827;-1.52879704158468
813;Road market;Market checklist;Wemtenga road market;exact location unknown;0101000020E61000002642FD2226C8F7BFA7B6207C4AC02840;0;7;2015-09-25 11:40:32.466769+02;;;0;0;0;12.3755682744916;-1.48636449496929
814;Road market;Market checklist;Nagrin road market;exact location unknown;0101000020E6100000DF43FDE2857AF8BFCA89DEB0F8922840;0;7;2015-09-25 11:43:38.797163+02;;;0;0;0;12.2870536109594;-1.52991284053518
610;Market in Ouaga;WASCAL;Marché de la gare routière;;0101000020E6100000DBD49F90E944F8BFC015F5DBDAAB2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
612;Market in Ouaga;WASCAL;Toulsin yaar;;0101000020E61000001A2B80462616F8BF4790390557B12840;;;2014-05-21 13:49:47.74048+02;;;;;;;
611;Market in Ouaga;WASCAL;Confiance yaar;;0101000020E6100000F9F44A634A12F8BFA8ED675A40AA2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
609;Market in Ouaga;WASCAL;Watinoma du secteur 15;;0101000020E610000046D61AD88359F8BFBBA4460B28AA2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
618;Market in Ouaga;WASCAL;Marché de la Cité An II;;0101000020E61000007974A0218F69F8BFCFDEA2F30DB02840;;;2014-05-21 13:49:47.74048+02;;;;;;;
621;Market in Ouaga;WASCAL;Boinse yaar;;0101000020E6100000F6D4A2C64109F8BFF9FBCF7B57BC2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
608;Market in Ouaga;WASCAL;Marché de Zempasgho;;0101000020E6100000300B90F0EE44F8BF8B1E3A43DAA32840;;;2014-05-21 13:49:47.74048+02;;;;;;;
613;Market in Ouaga;WASCAL;Kinda Issa yaar ou 14 yaar;;0101000020E6100000150990191CF5F7BF74F65DBE76B62840;;;2014-05-21 13:49:47.74048+02;;;;;;;
565;Market in Ouaga;WASCAL;Oscar yaar;;0101000020E610000026BE845A515EF8BFB77788D8D4B82840;;;2014-05-21 13:49:47.74048+02;;;;;;;
